id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/first_time,shot/one_on_one,under_pressure,shot/aerial_won
f64416c9-23df-438e-8e77-898c44179b69,2148,2,10:42.5,55,42,16,Shot,109,238,Inter Milan,2,From Corner,238,Inter Milan,19300,Lucimar da Silva Ferreira,3,Right Center Back,108,37,0.025,0.056061357,109,37,,93,Normal,37,Head,87,Open Play,96,Blocked,,,TRUE,
119e251d-62d2-44e7-bea5-04b814408253,2271,2,13:21.1,58,21,16,Shot,114,169,Bayern Munich,2,From Corner,169,Bayern Munich,19296,Mark van Bommel,9,Right Defensive Midfield,84,65,0.2563,0.005545284,87,63,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,
4ac817c0-c27b-4217-9d1f-c64bf8f46194,2394,2,17:35.9,62,35,16,Shot,121,169,Bayern Munich,3,From Free Kick,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,108,67,0.6393,0.006926679,115,48,,93,Normal,38,Left Foot,62,Free Kick,96,Blocked,,,,
015f7fe7-76fe-4ed4-b5b0-5ab9cac27478,2398,2,17:37.9,62,37,16,Shot,121,169,Bayern Munich,3,From Free Kick,169,Bayern Munich,5562,Thomas Müller,22,Right Center Forward,106,42,0.7623,0.06875604,116,41,,95,Volley,40,Right Foot,87,Open Play,96,Blocked,TRUE,,,
85e181c2-677e-495f-974d-b8bae2257d36,2438,2,19:05.1,64,5,16,Shot,124,238,Inter Milan,3,From Free Kick,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,82,41,1.430705,0.007148503,119,43.6,0.6,93,Normal,40,Right Foot,62,Free Kick,100,Saved,,,,
9cf3f422-d174-4d8a-b62f-3946e87109b7,2459,2,19:47.8,64,47,16,Shot,131,169,Bayern Munich,1,Regular Play,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,105,61,1.0037,0.008772062,119,38.1,2.2,93,Normal,38,Left Foot,87,Open Play,100,Saved,,,,
80f874c2-9cfe-4486-8eaa-0ed8d3fd7fb7,2622,2,24:21.3,69,21,16,Shot,140,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19289,Ivica Olić,24,Left Center Forward,110,47,0.1469,0.11061519,112,46,,91,Half Volley,38,Left Foot,87,Open Play,96,Blocked,TRUE,,,
e36e2002-90fc-4b23-be49-1ff9b042258b,2642,2,24:38.7,69,38,16,Shot,141,238,Inter Milan,1,Regular Play,238,Inter Milan,19294,Diego Alberto Milito,23,Center Forward,107,31,0.717076,0.20716602,120,43.6,0.9,93,Normal,40,Right Foot,87,Open Play,97,Goal,,,,
b28502fa-8022-4c20-bb85-075a15a117b4,2975,2,35:06.9,80,6,16,Shot,160,169,Bayern Munich,1,Regular Play,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,95,59,0.4386,0.007910266,104,53,,93,Normal,38,Left Foot,87,Open Play,96,Blocked,,,,
7a3c5712-7ab9-4d43-ae78-ecab817e548a,3037,2,37:14.3,82,14,16,Shot,163,169,Bayern Munich,3,From Free Kick,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,92,33,0.5129,0.05178217,103,37,,93,Normal,38,Left Foot,62,Free Kick,96,Blocked,,,,
86463202-d93d-4d49-be04-f542e9920713,3359,2,45:33.8,90,33,16,Shot,183,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19296,Mark van Bommel,9,Right Defensive Midfield,90,49,0.474173,0.017485753,93,48,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,TRUE,
ea96e2b2-af1e-4157-a700-5919a9c075dc,34,1,01:48.6,1,48,16,Shot,3,24,Liverpool,5,Other,24,Liverpool,3531,Mohamed Salah,17,Right Wing,108.2,40.1,0.390909,0.7835,120,42.5,0.9,93,Normal,38,Left Foot,88,Penalty,97,Goal,,,,
67b9cbde-0eb7-4800-9bfe-c2ce1ad406a6,342,1,09:04.7,9,4,16,Shot,15,38,Tottenham Hotspur,1,Regular Play,38,Tottenham Hotspur,3091,Moussa Sissoko,9,Right Defensive Midfield,91.9,43.1,1.237037,0.026188651,120,46.5,5.2,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,TRUE,
08c3746b-a125-4adb-991e-c8053578451a,587,1,16:48.6,16,48,16,Shot,25,24,Liverpool,4,From Throw In,24,Liverpool,3664,Trent Alexander-Arnold,2,Right Back,90.2,59.3,1.438182,0.006203256,120,34.7,0.8,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,
8fb3106d-10fb-42c6-bcf6-2ea34c7ff9a3,758,1,20:31.1,20,31,16,Shot,35,24,Liverpool,8,From Keeper,24,Liverpool,3531,Mohamed Salah,17,Right Wing,95.2,47.2,0.179142,0.03979926,99.7,46.2,,93,Normal,38,Left Foot,87,Open Play,96,Blocked,,,,
4004264d-14a1-4e0d-b01d-a5d025e26c17,768,1,21:53.4,21,53,16,Shot,37,24,Liverpool,4,From Throw In,24,Liverpool,3531,Mohamed Salah,17,Right Wing,113,59.5,1.154443,0.007077651,113.2,0.1,,93,Normal,38,Left Foot,87,Open Play,101,Wayward,,,,
ac439699-4dde-42dd-9f67-dd9ef6b6e885,1347,1,37:49.0,37,48,16,Shot,65,24,Liverpool,1,Regular Play,24,Liverpool,3655,Andrew Robertson,6,Left Back,98.4,20.4,1.001382,0.009163179,118.3,37.9,2.4,93,Normal,38,Left Foot,87,Open Play,100,Saved,,,,
